
ipaddr	name	connection
109227146131	SM-T580	1
109231008121	PSP5457DUO	1
109243011041	Xperia P	1
109252091167	BQS-5520	1
109255079089	LeEco Le 2	1
109031222015	MotoE2(4G-LTE)	1
109040002167	Redmi Note 2	1
109040002045	ONE A2003	1
109040002064	m8	1
109040003094	ONE A2003	1
109042000165	HTC Desire 530	1
109042002045	Xperia Z2	1
109042003011	FP2	1
109042003073	HTC Desire 530	1
109043000106	SM-G900F	1
109043001163	C6603	1
109043002064	SM-G900F	1
109043003114	SM-G900F	1
109043003085	SM-G900F	1
109044000155	Redmi Note 2	1
109044000253	FRD-L09	1
109044001109	EVA-L09	1
109044003191	Redmi Note 2	1
109044003040	GT-I9505	1
109045001102	Aquaris M5	1
109045001105	GT-I9195I	1
109045001135	MotoG3	1
109045001187	FP2	1
109045001212	GT-I8160	1
109045002151	SM-N910F	1
109045002153	GT-I8160	1
109045002177	GT-I8160	1
109045002208	Nexus 5	1
109045002094	Cynus T6	1
109045003029	GT-I8160	1
109045003063	GT-I8160	1
109046000105	E2303	1
109046001132	E2303	1
109047000116	GT-I9305	1
109047000149	GT-I9300	1
109047000081	Swift 2 Plus	1
109047001187	Swift 2 Plus	1
109047002102	Swift 2 Plus	1
109047002211	FP2	1
109047002253	SM-G388F	1
109047002064	FP2	1
109047002073	Swift 2 Plus	1
109047002092	Swift 2 Plus	1
109047003111	HTC 10	1
109047003170	SM-G920F	1
109047003184	FP2	1
109047003194	SM-G920F	1
109047003053	GT-I9305	1
109047003062	Swift 2 Plus	1
109047003080	Redmi Note 3	1
109068230114	XT1524	1
109069089165	C2005	1
109081211220	P9000	1
109084000160	Nexus 5	1
109084000053	LG-H850	1
109084001003	SM-G935F	1
109084002184	LG-H850	1
109084002045	SM-G930F	1
109089208042	Wileyfox Swift	1
109009172102	D5803	1
109090217078	ONE A2001	1
109090221235	Moto G4	1
109090222171	A0001	1
109090075158	Nexus 6	1
109091032177	SM-G935F	1
109091038185	GT-N7105	1
109091039015	GT-N7105	1
109091039206	GT-N7105	1
109091039255	SM-G900F	1
109091044191	LIFETAB_S785X	1
109091062169	Passport	1
109092213186	Redmi Note 3	1
110140191250	Nexus 6P	1
110020136042	Nexus 5X	1
110020196052	XT1068	1
111113068012	SM-C9000	1
111113068187	SM-C9000	1
111226003236	HM NOTE 1S	1
111008097003	EVA-TL00	1
112198102147	SM-G386T1	1
112198102178	SM-G386T1	1
112198102038	SM-G386T1	1
112198102075	SM-G386T1	1
112198068067	SM-G386T1	1
112198069191	SM-G386T1	1
112198069068	SM-G386T1	1
112198070024	SM-G386T1	1
112198071163	SM-G386T1	1
112198071063	SM-G386T1	1
112198072229	Flare_S4	1
112198077201	SM-G386T1	1
112198077046	SM-G386T1	1
112198078147	SM-G386T1	1
112198079117	SM-G386T1	1
112198079217	SM-G386T1	1
112198079222	SM-G386T1	1
112198082076	SM-G386T1	1
112198082079	SM-G386T1	1
112198090138	SM-G386T1	1
112198090232	SM-G386T1	1
112198098015	SM-G386T1	1
112198098165	SM-A520F	1
112198099154	SM-G386T1	1
112201012026	T03	1
113210068040	D5803	1
113052112012	LG-H815	1
114120234019	Lenovo A2010-a	1
114120237078	Lenovo A2010-a	1
114125045027	SM-J111F	1
114004078199	Redmi Note 3	1
115135013052	One X	1
115164177254	Lead 3i	1
115164188136	Lead 3i	1
115164221161	Lead 3i	1
115164049066	Lead 3i	1
115164052176	Lead 3i	1
115164053015	Lead 3i	1
115164056066	Lead 3i	1
115164057215	Lead 3i	1
115164058227	Lead 3i	1
115164062039	Lead 3i	1
115164062064	Lead 3i	1
115164088100	Lead 3i	1
115189098073	Nexus 6P	1
116021129041	XT1650-05	1
116240134058	XT1572	1
116009178120	OPPO R7s	1
117192240118	Nexus 6P	1
117194010082	Spice Mi-498H	1
117194011195	Spice Mi-498H	1
117194002161	Spice Mi-498H	1
117194009231	Spice Mi-498H	1
117198148148	A0001	1
117205254101	Redmi Note 3	1
117233054240	Pixel XL	1
117233009067	C2305	1
119030032081	M1	1
120156143043	HTC Desire 628	1
120018027117	GT-I9505	1
120202075046	SHV31	1
121152108121	SHV-E330S	1
121054090105	SM-G386T1	1
121054090208	A9	1
121054090093	SM-G386T1	1
121073003168	Redmi Note 3	1
121074108056	SM-G925F	1
122108130046	F8332	1
122108147052	Pixel	1
122162178205	Redmi Note 3	1
122162179190	Redmi Note 3	1
122167156136	ZUK Z1	1
122002108034	Lenovo A7000-a	1
122060076160	SM-G318ML	1
123136107098	ALE-L21	1
123201152120	ONEPLUS A3003	1
124168234029	LG-D855	1
124061191112	ZTE Grand S II LTE	1
126248023051	E5823	1
128177161149	SM-G360T1	1
128177161163	SAMSUNG-SM-J120AZ	1
128177161185	HTC Desire 625	1
128052128105	SM-G318ML	1
128061052068	A0001	1
128071056064	SM-J120F	1
128072231248	SM-J710F	1
129161222044	LG-VS985	1
129019001050	Nexus 5X	1
129082198033	SM-G900T	1
130000217232	BQS-5011	1
130000058222	ASUS_Z00A	1
130208181210	XT1092	1
130255111149	SGP611	1
131159202001	XT894	1
132231170255	E2303	1
132231216014	GT-I9001	1
134130118216	ONE A2003	1
134147116179	m8	1
134002251012	Z1	1
134003191024	ONEPLUS A3003	1
134003046051	LG-H850	1
134060169005	ONE E1003	1
134095007244	SM-N910F	1
134095007247	SM-P905	1
134096065030	Nexus 9	1
135023110200	Q10	1
135023110200	SGP311	1
136000000243	Tmovi YeahLIVE	1
136243209154	Lenovo A5000	1
136033085099	Pixel	1
136061190216	SM-G900P	1
137226181131	SM-G900F	1
137074104057	FP2	1
137097189057	ONEPLUS A3003	1
137097211166	ASUS_Z00AD	1
137097035235	ONEPLUS A3003	1
137097051186	ONEPLUS A3003	1
138117114053	SM-T230NU	1
138246002125	SM-G900I	1
139167011007	Pixel V2	1
139167126237	Pixel V2	1
139167192058	Pixel V2	1
139167201203	Pixel V2	1
139167205116	E5563	1
139167064187	Pixel V2	1
139167082219	Aqua Power 4G	1
139190211012	DROID RAZR	1
139080135255	GT-I9195	1
014177000121	Nexus 6P	1
014203151079	KFFOWI	1
014207101161	R7sf	1
141101027128	Redmi 3S	1
141136251151	Redmi Note 3	1
141016091106	GT-I8160	1
141018109210	D5803	1
141019159016	D5803	1
141255096045	GT-I9500	1
141003227191	LG-D855	1
141055119162	XT1572	1
141057062137	LG-D620	1
141058058199	Moto G	1
141072232059	XT1562	1
141076099221	Moto G (4)	1
142134154110	GT-N7105	1
142169078132	STH100-1	1
142179011254	SM-N910W8	1
143179106087	Nexus 5	1
144139206150	ASUS_Z008	1
145109028085	MotoG3	1
145129080082	XT1572	1
145130150034	ONE E1003	1
145133065136	SM-J100H	1
145097231043	FP2	1
145097231043	Nexus 5	1
145097231043	Nexus 7	1
146185032098	GT-I8262	1
146060164135	m8	1
146060194193	Xperia Z3 Tablet Compact Wifi	1
146060035200	Xperia Z3	1
147210245180	SM-A510F	1
148102102183	Moto G Play	1
148066092139	SM-J320FN	1
148075232027	SAMSUNG-SM-N920A	1
149161153182	DROID BIONIC	1
149172254105	SM-G389F	1
149201221159	Nexus 5X	1
149254234110	SM-G925F	1
149254235198	Nexus 5	1
149254235241	Nexus 5	1
149035020093	Lenovo TB-7703X	1
149035043220	Redmi Note 3	1
149056012215	SAMSUNG-SM-J320A	1
149056229017	HTC6525LVW	1
149006115242	Nexus 5	1
149071132208	Lenovo K50-T5	1
150107175003	Nexus 6	1
150242198148	LG-K520	1
150242199253	LG-K520	1
151018126071	ASUS_Z00ED	1
151216130242	HIGHWAY SIGNS	1
151216136049	Wileyfox Swift	1
151216224003	Wileyfox Swift	1
151224182152	ONEPLUS A3003	1
151230041182	Hudl 2	1
151236160138	SM-G900H	1
151236166197	SM-G900H	1
151239186187	LG-D855	1
151025014145	2014813	1
151025180095	GT-I9505	1
151028242145	ASUS_Z00ED	1
151029154191	LG-D855	1
151029162219	LG-D855	1
151029176184	GT-I8190	1
151029176184	LG-D855	1
151029212238	LG-D855	1
151029217223	LG-D855	1
151031059080	ASUS_Z00AD	1
151035130008	GT-S6310N	1
151035133146	XT1524	1
151035042025	ASUS_Z00ED	1
151035058147	ASUS_Z00ED	1
151035081204	LG-D855	1
151035089033	ASUS_Z00ED	1
151036009230	HUAWEI P9	1
151040178217	Wileyfox Swift	1
151040056082	XP7700	1
151042030229	SM-N9005	1
151047066106	GT-S6310N	1
151061148147	E2303	1
151075184007	ONEPLUS A3003	1
152250040058	ASUS_Z011D	1
153154103185	ALE-L02	1
154117192191	TECNO-L5	1
154117192022	TECNO-L5	1
154117192092	TECNO-L5	1
154117193225	TECNO-L5	1
154117193099	TECNO-L5	1
154241193083	SM-A300H	1
154243094144	GT-S7582	1
154058101196	ONEPLUS A3003	1
154073106047	TECNO-L5	1
156062003076	X1 7.0	1
157048001014	Le X507	1
157048248199	CP8298_I00	1
157049170142	XT1562	1
157049189047	Pixel	1
157049194000	SM-N910G	1
157049214065	Hol-U19	1
157049236094	Pixel	1
157049029152	SM-N920C	1
157049005107	SM-G610F	1
157050171236	ONEPLUS A3003	1
157050045064	ONEPLUS A3003	1
159118041181	XT1575	1
159122133221	GT-I9195	1
159140254083	Moto G4	1
159224115064	HTC Desire 626s	1
160177058095	ONE A2003	1
160179072194	Infinix NOTE 3 Pro	1
160039199114	LG-H811	1
161010206239	EVERCOSS A7S	1
162219178178		1
162220169001	SM-G930V	1
162253130028	LG-F320L	1
166137104025	SAMSUNG-SM-G930A	1
166137105172	10114-gadg	1
166137216199	STV100-1	1
166170223252	Pixel	1
166170037242	LG-K425	1
166170051227	GT-I9505G	1
166170052024	SAMSUNG-SM-G930A	1
166171120231	SGH-I547	1
166171185226	S60	1
166172187028	SAMSUNG-SM-G930A	1
166172060199	SAMSUNG-SM-G930A	1
166173250124	SAMSUNG-SM-G930A	1
166173250023	SAMSUNG-SM-G935A	1
166175187167	Moto G4	1
166175187073	Moto G4	1
166175190019	Moto G4	1
166175191144	HTC One	1
166175056030	SAMSUNG-SM-J320A	1
166175058075	Moto G4	1
166175060074	SAMSUNG-SM-J320A	1
166176184196	Nexus 5	1
166176185007	Nexus 5	1
166176186214	Nexus 5	1
166176187199	Nexus 5	1
166176249019	SAMSUNG-SGH-I747	1
166177056100	HTC 10	1
166177057011	HTC 10	1
166177057137	Nexus 4	1
166177059078	SAMSUNG-SM-G930A	1
166182083112	Nexus 6P	1
166251101163	LGMS330	1
169000163194	GT-I9300	1
169149140238	SM-J210F	1
169149150222	LS-4503	1
169149017040	LS-4503	1
169149041186	LS-4503	1
169149045254	LS-4503	1
169196119011	SM-G900V	1
169255185205	MotoE2(4G-LTE)	1
169057000249	SM-G920T	1
171248025226	SM-G900H	1
171248006233	SM-G900H	1
171249012067	Nexus 5	1
171025193078	SM-G318ML	1
171253041163	Nexus 5	1
172004179095	LG-E980	1
172004054104	XT1254	1
172005171205	Nexus 6	1
172056013112	Nexus 5X	1
172056014063	XT1575	1
172056014075	BV6000	1
172056016236	SM-G550T1	1
172056017027	SM-G386T	1
172056019216	LG-H811	1
172056020106	Nexus 5X	1
172056020011	LG-K550	1
172056021164	m8	1
172056021180	Nexus 5X	1
172056021004	Nexus 5	1
172056022127	Nexus 6P	1
172056023000	One	1
172056026146	SM-G550T2	1
172056027228	SM-G550T2	1
172056029163	BLU VIVO AIR LTE	1
172056003222	XT1575	1
172056003031	XT1575	1
172056030214	LG-D851	1
172056030245	HTC One M9	1
172056031105	SM-G550T1	1
172056031203	Z709	1
172056033250	Nexus 6	1
172056035042	GT-N7105	1
172056036190	ZTE A2017U	1
172056036068	LG-H811	1
172056037114	LGMS428	1
172056038111	Z709	1
172056038175	Z709	1
172056038254	BLU R1 HD	1
172056039244	Nexus 5	1
172056004186	BP1	1
172056042232	Nexus 5X	1
172056044133	Pixel XL	1
172056044093	Pixel XL	1
172056005019	SM-G360T	1
172056007113	BV6000	1
172058011131	SM-G550T1	1
172058011210	SM-G550T1	1
172058011036	SM-G550T1	1
172058144067	LG-F400L	1
172058145251	Nexus 5	1
172058152105	SM-G360T	1
172058152132	SM-G360T	1
172058152246	SM-J700T	1
172058153020	LGUS991	1
172058153028	SM-G360T	1
172058153048	SM-J700T	1
172058158202	SM-G360T	1
172058184200	Nexus 6P	1
172058019066	Z981	1
172058200253	LGMS428	1
172058201173	LGMS550	1
172058021149	SM-G550T1	1
172058021014	SM-N930T	1
172058216224	D6503	1
172058216053	D6503	1
172058225173	LG-D851	1
172058023144	SM-G550T1	1
172058033108	Pixel	1
172058036102	LG-H901	1
172058040065	LG-H811	1
172058044251	Coolpad 3622A	1
172058046179	Coolpad 3622A	1
172058059109	SM-G360T1	1
172058062151	ONEPLUS A3000	1
172058073098	SM-G550T1	1
172058091187	SM-G550T1	1
172058092067	SM-G550T1	1
172058094250	SM-G550T1	1
172058095025	SM-G550T1	1
172058095085	SM-G550T1	1
172074117180	SM-N900V	1
172089110223	LG-K330	1
172089068164	SM-G930P	1
172098067059	Moto G (4)	1
172098067093	SCH-R530M	1
173010237070	SM-G930T	1
173014061017	LGMS631	1
173167103174	SM-G935U	1
173167071195	A521L	1
173172005043	Nexus 6	1
173183121201	Galaxy Nexus	1
173019232180	2PQ93	1
173019092173	LGL22C	1
173197191002	KFSOWI	1
173197191003	KFSOWI	1
173199065036	Nexus 6	1
173216093041	Moto G (4)	1
173242132020	LGL33L	1
173245065175	Coolpad 3622A	1
173245065176	Coolpad 3622A	1
173245065054	Coolpad 3622A	1
173027074043	LG-UK495	1
173044083098	SM-G386T	1
173046076144	Z988	1
173046076158	LG-H343	1
173046076160	LG-H343	1
173046076182	LG-H343	1
173046076184	SAMSUNG-SM-J120AZ	1
173046077169	SAMSUNG-SM-J320AZ	1
173046077183	LG-H343	1
173046078165	LG-H343	1
173046078171	LG-H343	1
173046078179	MotoG3	1
173046078187	LG-H343	1
173046078189	ZTE A2017U	1
173070095013	SM-N900P	1
173075063059	HTC first	1
173008202210	SGH-M919	1
173089075059	Nexus 6P	1
174101112073	SM-G925P	1
174107125050	SM-N920V	1
174109249248	SAMSUNG-SM-J320AZ	1
174110042166	XT1030	1
174126185011	DROID RAZR HD	1
174131066067	SGH-M919	1
174131080024	SGH-M919	1
174138220081	Nexus 5	1
174017245239	LG-K330	1
174193013048	SM-G900V	1
174194014253	XT1030	1
174199026012	SCH-I415	1
174200027231	Nexus 6	1
174201023240	SM-G935V	1
174201004225	SM-G935V	1
174218008241	Pixel_XL	1
174221129147	SM-G935V	1
174221135149	XT1635-01	1
174223128162	Pixel XL	1
174223129089	Pixel XL	1
174223013033	Pixel XL	1
174223133156	Pixel XL	1
174025041218	E5803	1
174255129246	LGLS620	1
174255130170	SM-N900V	1
174255131063	LGL82VL	1
174255132157	SM-N900V	1
174255133118	Z717VL	1
174255135049	VS987	1
174255200243	SM-S820L	1
174255202087	XT1575	1
174026121071	LGMS330	1
174049235004	HTC One M9	1
174049099098	KIW-L24	1
174007167217	SM-T280	1
174084229051	Nexus 6	1
174097126175	Transformer TF101	1
176104013250	Lenovo P70-A	1
176105207049	IQ4403	1
176011114087	SM-A510F	1
176114067081	Ultra	1
176118236053	ASUS_Z010DD	1
176118051115	ARCHOS 50c Neon	1
176119161060	Tab2A7-20F	1
176126252011	anonymous	1
176013019079	SM-G930F	1
176013244200	SM-G930F	1
176014216070	C2305	1
176149034055	SM-G800F	1
176152005113	UMI Plus E	1
176158129052	PRO5023POE01	1
176158065003	SM-G930F	1
176159036169	A0001	1
176164097124	F8331	1
176179187078	Lenovo TAB 2 A7-30F	1
176190016204	Nexus 5	1
176194106091	Nexus 7	1
176194164154	Lenovo TAB 2 A10-70L	1
176198109151	SM-N9005	1
176198171067	A0001	1
176198038102	SM-N9005	1
176205249254	ONE E1003	1
176222074069	LG-H815	1
176222085105	SM-T230	1
176227166025	GT-N7100	1
176233227140	Xperia Z	1
176024113238	SM-N910F	1
176034064240	AOSP on ARM Emulator	1
176059000184	Redmi 3	1
176059198121	E39	1
176062182144	Dexp ixion ml4.7	1
176065120054	Power Ice Evo	1
176083174253	Nexus 6	1
176083020172	ALE-L21	1
176083200113	LESPH5011	1
176083200016	Nexus 6	1
176083200074	LESPH5011	1
176083204044	Nexus 6	1
177129024249	Nexus 5X	1
177133206068	XT1078	1
177017064100	Moto X	1
177178215027	LG-K220	1
177185040071	SM-N910C	1
177194029068	SM-G935F	1
177242128142	Nexus 6	1
177003147097	XT1635-02	1
177042070218	2014819	1
177042080074	GT-N7000	1
177042091149	LG-K220	1
177089149045	GT-I8200L	1
177089149074	GT-I8200L	1
178000007185	Moto G	1
178011082057	HUAWEI VNS-L31	1
178112109230	A0001	1
178115130236	Elephone P8000	1
178012133103	SM-G361F	1
178012205230	GT-I8160	1
178120025184	ZTE Blade A465	1
178128188192	LG-D405	1
178128236137	Neffos C5 Max	1
178149252152	GT-I9505	1
178162198109	Nexus 5 CAF	1
178162205004	ONEPLUS A3003	1
178163028221	Benefit_M505	1
178164246011	A0001	1
178165128237	SM-G900F	1
178165129043	LG-H320	1
178165130132	FP2	1
178019255069	LG-E615	1
178194247040	SM-P605	1
178197225230	SM-G900F	1
178197226009	SM-G900F	1
178197228148	Xperia Z1 Compact	1
178197233191	SM-G900F	1
178002020032	Nexus 7	1
178020075034	SM-J500FN	1
178200157035	SM-T555	1
178200236169	MI 5	1
178200237165	FP2	1
178200237082	FP2	1
178200069008	SM-G389F	1
178201223237	X1030X	1
178202190118	XT1072	1
178202191224	One	1
178202191245	SM-G900F	1
178203014172	F3111	1
178203177214	Moto G (4)	1
178204104199	SM-G900F	1
178204116066	SM-G900F	1
178204117151	SM-G900F	1
178205153076	SM-G900F	1
178238229054	FP2	1
178024238130	E8Q+	1
178024239076	LG-P880	1
178024024034	FP2	1
178024075200	A0001	1
178024080240	Nexus 5X	1
178027124230	A0001	1
178027070084	unknown	1
178040145199	SM-T111	1
178048227031	HUAWEI Y550-L03	1
178050075253	MI MAX	1
178050083108	MI MAX	1
178058175118	Lenovo S1a40	1
178006229097	m8	1
178062146060	6055K	1
178007042045	GT-I9195	1
178008111011	LG-D855	1
178008218140	Moto G4	1
178008236094	Redmi Note 2	1
178008095125	SM-T530	1
178082034253	GT-I9300	1
178009084013	Redmi 4	1
178009092014	m8	1
179105111205	XT1095	1
179108253039	SM-G530BT	1
179155229080	Nexus 4	1
179159057057	XT1514	1
179181159102	XT1097	1
179191212148	GT-I9300	1
179194225203	Quantum Fly	1
179223180128	Moto G (4)	1
179238147026	LG-K220	1
179025134127	Neffos C5	1
179025210104	Neffos C5	1
179034169134	Moto G (4)	1
179043156066	Blade S6	1
179052154076	C6906	1
179066111100	LG-K220	1
179066203095	Nexus 4	1
179066042076	LG-K220	1
179067012006	LG-K220	1
179067162228	LG-K220	1
179007088196	VerykoolS4006Q	1
180153228063	Nexus 4	1
180153228079	Nexus 4	1
180153228091	Nexus 4	1
180181188073	GT-P5110	1
180181190061	i15-TCL	1
180183180038	Redmi Note 3	1
180183209138	SM-G900F	1
181001255162	LG-H320	1
181110167089	HUAWEI P6-U06	1
181110220088	SM-G130H	1
181114042107	XT1063	1
181115140126	E6553	1
181117001051	SM-J110L	1
181120154150	SM-G318ML	1
181121104008	SM-G900M	1
181124142081	SM-G318ML	1
181016015188	SM-G355M	1
181162007074	A0001	1
181192013227	SM-T230NU	1
181192018001	SM-T230NU	1
181192018001	XT919	1
181192019067	SM-T230NU	1
181192024220	SM-T230NU	1
181199074023	Nexus 6	1
181229137080	SM-T210	1
181091181127	CX9006	1
182059252172	A0001	1
182064190073	1201	1
183232175004	Nexus 11	1
183232175005	Nexus 11	1
183060163107	sdk	1
183082184114	Redmi 3S	1
184101088140	SM-G930F	1
184145119134	A0001	1
184151036229	C6906	1
184153193166	Z717VL	1
184153200175	SM-T580	1
184158218021	DROID RAZR HD	1
184160119133	SGH-T699	1
184023191168	ZTE A2017U	1
184089181120	SM-G920P	1
184091046203	SM-G930P	1
184097212019	C6750	1
185010172014	FRD-L09	1
185010174035	FRD-L09	1
185100032014	Xfire2	1
185129062062	SPH-L710T	1
185137144027	GT-I9195	1
185142042228	GT-I8262	1
185142045037	GT-S7390	1
185147239088	LG-D802	1
185151058116	Nexus 5X	1
185154057005	Redmi Note 3	1
185160229100	Aquaris E5 FHD	1
185017205139	GT-I9300	1
185017205182	SM-G900F	1
185017205201	SM-G900F	1
185017207135	GT-N7000	1
185175208180	SM-G318ML	1
185018179191	Nexus 5	1
185019035010	ZTE A2017G	1
185038014171	Nexus 5	1
185005008104	Moto G	1
185065132106	Nexus 7	1
185065132110	Nexus 7	1
185065134075	Nexus 5X	1
185066194011	C9660	1
185066078012	Xperia Z1 Compact	1
185069244001	Redmi 3S	1
185069244001	Xperia Z3	1
185069244002	Xperia Z3	1
185074194084	GT-I9195	1
185075074076	SM-G925F	1
185076096222	ONEPLUS A3003	1
185077179053	Redmi 3	1
185081138019	FP2	1
185082073052	ONEPLUS A3003	1
185086236055	ONEPLUS A3003	1
185086238043	CUBOT_NOTE_S	1
185091193202	Le X620	1
186106242218	XT1058	1
186108174086	SM-T230NU	1
186109099058	SM-T230NU	1
186133245048	M691	1
186137154082	MotoE2(4G-LTE)	1
186141133222	Moto G 2014	1
186141134132	Moto G 2014	1
186019242119	SM-T210	1
186203013006	ASUS_Z00AD	1
186215078155	SM-J320M	1
186235138037	2014819	1
186243192073	LG-K220	1
186244074146	GT-I9505	1
186086061174	XT1527	1
187112157012	GT-I9505	1
187112157012	SM-G925I	1
187120227151	ASUS_Z00AD	1
187144125158	E2306	1
187147099198	ALE-L23	1
187152006254	BLU ADVANCE 4.0 L	1
187159221232	XT1032	1
187189154193	Xperia Z1 Compact	1
187019164238	Moto G	1
187213129250	Moto G4	1
187227019083	XT1064	1
187237025090	MotoG3	1
187250013250	XT1058	1
187250066112	AM402	1
187034200228	ASUS_Z011D	1
187056066211	GT-I8190	1
187074136170	XT1032	1
187074198081	ASUS_Z011D	1
187086077193	LG-K220	1
187086077193	Nexus 4	1
187086078186	LG-K220	1
188104151111	Z30	1
188104193123	C9660	1
188109010148	Moto G 2014	1
188109240231	breeze 10.1 quad	1
188109030086	Redmi Note 2	1
188110123006	GT-I9195	1
188112094157	D5803	1
188117236078	LGUS991	1
188120174166	Ascend Y300	1
188143093182	Redmi 3S	1
188146013150	GT-I9300	1
188146093166	Venue 8 3830	1
188162015188	ASUS_Z00RD	1
188163035121	HTC Desire 626s	1
188165128051	ZTE Blade A452	1
188168035037	SM-T705	1
188169100034	Redmi Note 3	1
188170195203	GT-I9192	1
188172219067	Z410	1
188174101003	GT-P1000	1
188174181235	GT-I9195	1
188174076079	Moto G	1
188174097251	LG-H815	1
188183005254	GT-I9300	1
188192162166	Nexus 5X	1
188193187164	ASUS_Z00A	1
188193020132	GT-I9300	1
188193204070	SM-G800F	1
188193072050	ONE A2003	1
188195173025	PadFone	1
188195255156	A0001	1
188195075161	LG-H320	1
188207071062	Nexus 5X	1
188210062078	Redmi Note 3	1
188023198062	GT-I9300	1
188023052230	ZP720	1
188023092047	Xperia Z3	1
188024028084	Nexus 5	1
188243229001	A0001	1
188244203085	GT-N7100	1
188244203085	SM-T705	1
188244038183	Nexus 5	1
188252150000	HTC One M8s	1
188252225009	LG-E440	1
188027064066	GT-I9100	1
188029164105	SM-G930F	1
188029164166	SM-G930F	1
188029164229	SM-G930F	1
188029164039	Pixel	1
188029165000	SM-G930F	1
188029165025	ONEPLUS A3003	1
188029165053	SM-G930F	1
188035131159	Nexus 7	1
188051063165	SM-T113	1
188053201010	SM-J500F	1
188062181115	E5823	1
188007154223	RAINBOW	1
188071200252	Nexus 5	1
188078136044	GT-I9100	1
188078088191	Mi 4c	1
188083119067	GT-I9505	1
188083067217	6055K	1
188086076020	A8 MAX	1
188088030141	XT1635-02	1
188009035068	ONEPLUS A3003	1
188096066191	FP2	1
188098079123	GT-I9505	1
188099215055	GT-I9300	1
189104225110	LG-K220	1
189115129025	Nexus 4	1
189122063150	Nexus 5	1
189137000046	SM-T320	1
189154243158	Moto G (4)	1
189158222007	XT1528	1
189176124118	XT1063	1
189177219252	SCH-I500	1
189177235076	SCH-I500	1
189178113077	BLU ADVANCE 4.0 L	1
189178145057	BLU ADVANCE 4.0 L	1
189018103228	ASUS_X014D	1
189181080110	unknown	1
189192003120	LG-H500	1
189204161125	XT1058	1
189205223077	SM-T320	1
189210073005	6045I	1
189223027250	XT1058	1
189223004234	ONEPLUS A3000	1
189231026168	Z410	1
189238026177	MotoG3-TE	1
189248109238	HTC One	1
189248205197	HTC One	1
189254162030	Z410	1
189040068098	MotoG3	1
189040073208	MotoG3	1
189040088116	MotoG3	1
189054128054	ASUS_Z00LD	1
190101016089	Moto E	1
190113208149	Moto G Play	1
190128064146	Desire 610	1
190165004101	ONE A2001	1
190204173087	TR10CS1	1
190216007213	Moto G 2014	1
